Table,Column_Name,Column_Description
__RefactorLog,operationkey,OperationKey
accnt_group_mx,accnt_group_mx_id,account group id
accnt_group_mx,accnt_group_mx_uid,UID for account group. Identity.
accnt_group_mx,created_by,User who created the record
accnt_group_mx,date_created,Date and time the record was originally created
accnt_group_mx,date_last_modified,Date and time the record was modified
accnt_group_mx,group_description,Long group description. Not null values defined by SAT at this moment.
accnt_group_mx,last_maintained_by,User who last changed the record
accnt_group_mx,level,Level
accnt_group_mx,row_status_flag,Record status flag
accnt_group_mx,sequence_no,Sequence number for ordering records. Will be used in case SAT defines new records.
accnt_group_mx2,accnt_group_mx2_id,SAT Group Code 2
accnt_group_mx2,accnt_group_mx2_uid,Unique ID for SAT Group Code 2
accnt_group_mx2,created_by,User who created the record
accnt_group_mx2,date_created,Date and time the record was originally created
accnt_group_mx2,date_last_modified,Date and time the record was modified
accnt_group_mx2,group_description,SAT Group 2 Description
accnt_group_mx2,last_maintained_by,User who last changed the record
accnt_group_mx2,row_status_flag,Row Status Flag
accnt_group_mx2,sequence_no,Sequence Number used for popup sorting
accnts_x_accnt_group,accnt_group_mx_uid,Relationship to Account Group MX and SAT group Codes.
accnts_x_accnt_group,accnt_group_mx2_uid,Relationship to Account Group MX and SAT group Code 2.
accnts_x_accnt_group,accnts_x_accnt_group_uid,Primary key
accnts_x_accnt_group,account_no,Account number
accnts_x_accnt_group,company_no,Company Id
accnts_x_accnt_group,created_by,User who created the record
accnts_x_accnt_group,date_created,Date and time the record was originally created
accnts_x_accnt_group,date_last_modified,Date and time the record was modified
accnts_x_accnt_group,last_maintained_by,User who last changed the record
accnts_x_accnt_group,row_status_flag,Status flag
account_group_hdr,account_group_desc,description for the account group
account_group_hdr,account_group_hdr_uid,UID for this table
account_group_hdr,account_group_id,Unique ID to identify account group
account_group_hdr,company_id,company for this group of accounts
account_group_hdr,created_by,User who created the record
account_group_hdr,date_created,Date and time the record was originally created
account_group_hdr,date_last_modified,Date and time the record was modified
account_group_hdr,last_maintained_by,User who last changed the record
account_group_hdr,row_status_flag,status of this record
account_group_line,account_group_hdr_uid,UID for master record
account_group_line,account_group_line_uid,UID for this table
account_group_line,chart_of_accts_uid,UID for account record
account_group_line,created_by,User who created the record
account_group_line,date_created,Date and time the record was originally created
account_group_line,date_last_modified,Date and time the record was modified
account_group_line,last_maintained_by,User who last changed the record
account_group_line,row_status_flag,status of record
account_reconciliation_wkst,adjustment_credit_amt,Total of credit adjustments posted to reconciling accts
account_reconciliation_wkst,adjustment_debit_amt,Total of debit adjustments posted to reconciling accts
account_reconciliation_wkst,approved,Has reconciliation been approved
account_reconciliation_wkst,company_id,Company associated with worksheet
account_reconciliation_wkst,created_by,User who created the record
account_reconciliation_wkst,date_created,Date and time the record was originally created
account_reconciliation_wkst,date_last_modified,Date and time the record was modified
account_reconciliation_wkst,gl_balance,Total for GL accounts
account_reconciliation_wkst,gl_reversing_trans_no,GL transaction no corresponding to reversing gl postings.
account_reconciliation_wkst,gl_transaction_number,"Associated GL transaction, if any"
account_reconciliation_wkst,last_maintained_by,User who last changed the record
account_reconciliation_wkst,period,Period Reconcilied
account_reconciliation_wkst,transactions_balance,Total for transactions
account_reconciliation_wkst,transfers_in_transit_gl_created_flag,Determines if the gl adjustments and reverse postings has been added to a worksheet
account_reconciliation_wkst,worksheet_no,Unique number to identify worksheet
account_reconciliation_wkst,worksheet_type_cd,Code for worksheet type being reconciled
account_reconciliation_wkst,year_for_period,Year Reconcilied
account_x_currency,account_no,Account Number to be used for the specified Currency
account_x_currency,account_type_cd,"Account Type (Inventory Receipts Clearing, Account Payable, ect...)"
account_x_currency,account_x_currency_uid,Unique Identifier
account_x_currency,company_id,Company ID for Account
account_x_currency,created_by,User who created the record
account_x_currency,currency_id,Currency to be used for the specified Account Number
account_x_currency,date_created,Date and time the record was originally created
account_x_currency,date_last_modified,Date and time the record was modified
account_x_currency,last_maintained_by,User who last changed the record
account_x_currency,row_status_flag,"Status of record (Active, Delete)"
ach_override,bank_no,bank number
ach_override,company_discretionary_data,Additional information pertinent to company
ach_override,company_id,company id
ach_override,company_identification,Company Identification
ach_override,company_name,Company name
ach_override,company_name_detail,Company Name Detail
ach_override,created_by,User who created the record
ach_override,date_created,Date and time the record was originally created
ach_override,date_last_modified,Date and time the record was modified
ach_override,effective_entry_date_source,Effective Entry Date Source
ach_override,entry_description,Entry Description
ach_override,immediate_destination,Immediate Destination
ach_override,immediate_destination_name,Immediate Destination Name
ach_override,immediate_origin,Immediate Origin
ach_override,immediate_origin_name,Immediate Origin Name
ach_override,last_maintained_by,User who last changed the record
ach_override,originating_dfi_no_control,DFI No Batch Control
ach_override,originating_dfi_no_hdr,Originating DFI no 
ach_override,override_uid,UID
ach_override,service_class_cd_control,Service class code batch control
ach_override,service_class_code_hdr,Service class code for header record
